OOM-rerun autostart waiting at: Sun May 31 01:03:40 AM AEST 2026
[Sun May 31 01:03:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 06:18:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:21:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:24:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:27:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:30:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:33:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:36:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:39:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:42:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:45:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:48:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:51:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:54:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:57:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:00:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:03:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:06:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:09:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:12:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:15:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:18:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:21:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:24:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:27:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:30:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:33:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:36:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:39:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:42:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:45:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:48:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:51:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:54:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 07:57:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:00:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:03:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:06:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:09:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:12:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:15:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:18:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:21:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:24:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:27:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:30:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:33:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:36:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:39:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:42:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:45:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:48:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:51:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:54:43 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 08:57:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:00:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:03:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:06:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:09:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:12:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:15:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:18:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:21:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:24:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:27:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:30:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:33:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:36:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:39:44 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 09:42:44 AM AEST 2026] All sweep workers finished, starting OOM rerun
[Sun May 31 09:42:54 AM AEST 2026] Scanning OOM iids...
acasxu_2023|85
cifar100_2024|1,3,15,24,33,40,47,49,51,53,62,64,69,71,76,79,81,83,88,90,95,106,108,113,123,136,155,161,165,175
collins_aerospace_benchmark|0,1,2,3,4,5
cora_2024|4
malbeware|23
nn4sys|146,147,148,149,150,151,152,153,154,155,156,157,158,159,169,170,180,181,182,183,184,185,186,187,188,189,190,191,192,193
relusplitter|2,111,113,145,166,170,176,181,187,194,198,204,214
safenlp_2024|77,725
soundnessbench|32,43
tinyimagenet_2024|36
traffic_signs_recognition_2023|15
yolo_2023|4,8,11,21,26,32,34,35,39,45,57,58,61,62,65,66,67,71
[Sun May 31 09:42:54 AM AEST 2026] Rerun root: /data1/Kane/ACT/audit_results/full_vnncomp_20260530T092003Z/oom_rerun_20260530T234254Z
[Sun May 31 09:42:54 AM AEST 2026] Rerun acasxu_2023: 1 iids, RSS=32GB, wall=300s
[Sun May 31 09:43:04 AM AEST 2026] acasxu_2023 rerun done
[Sun May 31 09:43:04 AM AEST 2026] Rerun cifar100_2024: 30 iids, RSS=32GB, wall=480s
[Sun May 31 09:47:06 AM AEST 2026] cifar100_2024 rerun done
[Sun May 31 09:47:06 AM AEST 2026] Rerun collins_aerospace_benchmark: 6 iids, RSS=64GB, wall=600s
[Sun May 31 10:22:08 AM AEST 2026] collins_aerospace_benchmark rerun done
[Sun May 31 10:22:08 AM AEST 2026] Rerun cora_2024: 1 iids, RSS=32GB, wall=300s
[Sun May 31 10:24:44 AM AEST 2026] cora_2024 rerun done
[Sun May 31 10:24:44 AM AEST 2026] Rerun malbeware: 1 iids, RSS=32GB, wall=300s
[Sun May 31 10:24:51 AM AEST 2026] malbeware rerun done
[Sun May 31 10:24:51 AM AEST 2026] Rerun nn4sys: 30 iids, RSS=32GB, wall=300s
